time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
1718776800,10377979,10379384,10356870,10359627,60.67,629070341.67,force_direct,
1718780400,10334320,10387049,10305826,10377979,65.45,677277007.25,force_direct,
1718784000,10305291,10340862,10293242,10334320,31.75,327424000.88,force_direct,
1718787600,10328082,10328314,10295446,10305291,14.31,147557636.74,force_direct,
1718791200,10361088,10361453,10309000,10328082,19.51,201516758.46,force_direct,
1718794800,10316795,10367125,10285831,10361088,35.24,363615167.39,force_direct,
1718798400,10311738,10333423,10291690,10316795,18.56,191304254.92,force_direct,
1718802000,10302287,10319562,10295773,10311738,13.3,137086009.85,force_direct,
1718805600,10281491,10311613,10260962,10302287,33.79,347382811.82,force_direct,
1718809200,10276587,10308096,10251000,10281491,34.94,359136976.94,force_direct,
1718812800,10273191,10296820,10255205,10276587,17.17,176425185.41,force_direct,
1718816400,10296340,10328575,10267646,10273191,13.58,139944458.3,force_direct,
1718820000,10284416,10308679,10284416,10296340,8.233,84778117.83,force_direct,
1718823600,10272924,10284416,10252056,10284416,27.03,277578587.86,force_direct,
1718827200,10272758,10280048,10241946,10272924,26.09,267697074.17,force_direct,
1718830800,10293489,10306633,10262213,10272758,29.78,306186840.25,force_direct,
1718834400,10272000,10302872,10270010,10293489,11.33,116549854.93,force_direct,
1718838000,10284994,10293283,10263891,10272000,13.67,140509301.42,force_direct,
1718841600,10311698,10312902,10267277,10284994,42.46,436927946.11,force_direct,
1718845200,10310994,10350000,10302552,10311698,48.93,505080870.8,force_direct,
1718848800,10328029,10332611,10294540,10310994,30.08,310376195.13,force_direct,
1718852400,10332596,10343566,10315724,10328029,56.95,588287312.82,force_direct,
1718856000,10347942,10350000,10319000,10332596,48.58,502073901.82,force_direct,
1718859600,10386357,10395793,10340961,10347942,77.58,804432595.87,force_direct,
1718863200,10367990,10399780,10360893,10386357,41.74,433295573.34,force_direct,
1718866800,10433609,10447489,10367989,10367990,82.6,860443130.93,force_direct,
1718870400,10423563,10448098,10408332,10433609,47.39,494359551.79,force_direct,
1718874000,10429994,10431297,10404527,10423563,11.61,120969779.53,force_direct,
1718877600,10503577,10523952,10419044,10429994,53.39,558882940.78,force_direct,
1718881200,10484807,10538385,10484592,10503577,48.33,508045460.57,force_direct,
1718884800,10475284,10511950,10449523,10484807,51.5,539544380.84,force_direct,
1718888400,10358888,10480413,10350000,10475284,114.25,1187185618.84,force_direct,
1718892000,10327887,10362191,10278242,10358888,95.39,984202074.48,force_direct,
1718895600,10315603,10362950,10302085,10327887,75.49,779716692.34,force_direct,
1718899200,10322446,10334676,10273741,10315603,49.68,511702047.76,force_direct,
1718902800,10337500,10346168,10297436,10322446,19.4,200048428.67,force_direct,
1718906400,10351196,10368448,10334186,10337500,20.58,213020829.37,force_direct,
1718910000,10350000,10355213,10313679,10351196,17.78,183849650.91,force_direct,
1718913600,10355998,10373905,10336700,10350000,19.68,203799558.83,force_direct,
1718917200,10352532,10372158,10347803,10355998,7.873,81564383.46,force_direct,
1718920800,10340077,10367750,10334997,10352532,12.84,132942031.15,force_direct,
1718924400,10328515,10355218,10325805,10340077,19.11,197620594.75,force_direct,
1718928000,10326863,10339510,10293029,10328515,29.7,306379063.21,force_direct,
1718931600,10341106,10355000,10302806,10326863,32.48,335683157.73,force_direct,
1718935200,10324774,10355956,10301277,10341106,43.13,445202769.29,force_direct,
1718938800,10273310,10331949,10256325,10324774,84.5,871257550.13,force_direct,
1718942400,10296841,10303567,10240000,10273310,79.6,818064968.69,force_direct,
1718946000,10298559,10308118,10271912,10296841,56.14,577479754.96,force_direct,
1718949600,10294348,10311810,10285463,10298559,46.07,474402433.79,force_direct,
1718953200,10215000,10307018,10214878,10294348,60.51,620747061.1,force_direct,
1718956800,10126564,10238990,10113001,10215000,112.39,1145090793.96,force_direct,
1718960400,10200085,10231177,10117766,10126564,77.93,791910717.56,force_direct,
1718964000,10175001,10212995,10155573,10200085,30.55,311217426.63,force_direct,
1718967600,10149739,10199999,10135000,10175001,35.13,357031474.94,force_direct,
1718971200,10160041,10167578,10105140,10149739,51.06,517600038.23,force_direct,
1718974800,10138990,10169503,10100000,10160041,41.79,423488833.58,force_direct,
1718978400,10253243,10270750,10113639,10138990,57.01,581916484.37,force_direct,
1718982000,10169235,10272342,10130286,10253243,38.16,388839271.84,force_direct,
1718985600,10160482,10189000,10150220,10169235,15.09,153483160.7,force_direct,
1718989200,10171657,10200000,10139653,10160482,17.12,174102841.97,force_direct,
1718992800,10249914,10251988,10166657,10171657,17.7,180963626.14,force_direct,
1718996400,10263999,10264560,10215447,10249914,11.09,113630244.43,force_direct,
1719000000,10263416,10294878,10244516,10263999,23.06,236870943.92,force_direct,
1719003600,10242930,10265000,10207545,10263416,15.37,157353574.4,force_direct,
1719007200,10258109,10261805,10242930,10242930,6.891,70683634.79,force_direct,
1719010800,10254004,10267428,10242509,10258109,8.612,88306884.66,force_direct,
1719014400,10244000,10264130,10224704,10254004,9.379,96106105.99,force_direct,
1719018000,10261148,10270399,10242416,10244000,6.737,69099455.5,force_direct,
1719021600,10279803,10285503,10257574,10261148,10.63,109250054.09,force_direct,
1719025200,10281394,10284130,10270396,10279803,5.524,56778964.56,force_direct,
1719028800,10287257,10287257,10271900,10281394,4.922,50595783.83,force_direct,
1719032400,10299601,10299999,10275234,10287257,8.8,90537810.75,force_direct,
1719036000,10300745,10310000,10290013,10299601,10.72,110437881.78,force_direct,
1719039600,10312594,10313506,10284942,10300745,14.89,153327309.96,force_direct,
1719043200,10284296,10314613,10281747,10312594,14.8,152365915.71,force_direct,
1719046800,10290064,10291873,10275839,10284296,11.83,121640061.71,force_direct,
1719050400,10293904,10298000,10284385,10290064,5.72,58865241.9,force_direct,
1719054000,10285714,10293928,10282004,10293904,2.24,23042945.86,force_direct,
1719057600,10290017,10291261,10280690,10285714,4.416,45419692.81,force_direct,
1719061200,10288701,10290374,10282716,10290017,2.829,29100393.54,force_direct,
1719064800,10287179,10299509,10284663,10288701,4.497,46288365.35,force_direct,
1719068400,10284567,10290259,10275000,10287179,6.929,71240459.55,force_direct,
1719072000,10288800,10291612,10277908,10284567,3.246,33390104.05,force_direct,
1719075600,10281991,10289797,10279056,10288800,2.28,23454348.28,force_direct,
1719079200,10281877,10285225,10278001,10281991,1.725,17735436.1,force_direct,
1719082800,10281520,10285417,10275000,10281877,2.758,28340685.4,force_direct,
1719086400,10282224,10285127,10277909,10281520,1.487,15284580.74,force_direct,
1719090000,10289394,10289404,10278286,10282224,0.9192,9452595.22,force_direct,
1719093600,10286430,10289698,10282811,10289394,2.511,25831163.8,force_direct,
1719097200,10284188,10289694,10279377,10286430,3.012,30972346.31,force_direct,
1719100800,10308658,10313046,10281094,10284188,23.9,246077763.18,force_direct,
1719104400,10311276,10314200,10289063,10308658,19.96,205701891.1,force_direct,
1719108000,10307388,10311970,10296325,10311276,6.147,63342273.12,force_direct,
1719111600,10303590,10313321,10303589,10307388,6.627,68313071.13,force_direct,
1719115200,10295353,10306945,10293887,10303590,8.538,87945522.45,force_direct,
1719118800,10293888,10302319,10287777,10295353,8.281,85239051.71,force_direct,
1719122400,10294496,10300133,10286284,10293888,3.458,35593208.46,force_direct,
1719126000,10299382,10301029,10291752,10294496,3.84,39535693.79,force_direct,
1719129600,10293017,10301029,10292887,10299382,3.525,36290012.11,force_direct,
1719133200,10297656,10300487,10293017,10293017,4.815,49589483.94,force_direct,
1719136800,10297656,10297656,10297656,10297656,0.0,0.0,force_direct,
