Time,Close,High,Low,Open
1718272800,10687280,10708955,10595000,10630786
1718276400,10676000,10707999,10661021,10687280
1718280000,10649930,10745787,10610000,10676000
1718283600,10645975,10737799,10629999,10649930
1718287200,10601086,10656329,10581400,10645975
1718290800,10445980,10622821,10428601,10601086
1718294400,10533056,10536860,10412670,10445980
1718298000,10522428,10540000,10480000,10533056
1718301600,10516483,10534317,10490000,10522428
1718305200,10478335,10519379,10472243,10516483
1718308800,10493255,10509697,10470155,10478335
1718312400,10538892,10540000,10488474,10493255
1718316000,10533765,10545000,10520467,10538892
1718319600,10516611,10537872,10504499,10533765
1718323200,10513910,10532673,10495000,10516611
1718326800,10532492,10532746,10481779,10513910
1718330400,10562724,10571892,10515094,10532492
1718334000,10560540,10568399,10515945,10562724
1718337600,10567143,10575700,10553165,10560540
1718341200,10625357,10635528,10561999,10567143
1718344800,10603207,10641202,10577880,10625357
1718348400,10578385,10618210,10576000,10603207
1718352000,10601681,10617389,10573001,10578385
1718355600,10544323,10601681,10530056,10601681
1718359200,10521003,10544323,10513887,10544323
1718362800,10549937,10573823,10501210,10521003
1718366400,10572664,10599433,10535911,10549937
1718370000,10572100,10616751,10560000,10572664
1718373600,10563893,10577381,10495698,10572100
1718377200,10462053,10572795,10459785,10563893
1718380800,10290265,10484242,10280138,10462053
1718384400,10304277,10360665,10253858,10290265
1718388000,10308795,10319492,10234450,10304277
1718391600,10321020,10335262,10276686,10308795
1718395200,10368000,10390000,10314763,10321020
1718398800,10424542,10497545,10365097,10368000
1718402400,10409328,10434492,10376904,10424542
1718406000,10405492,10410000,10386924,10409328
1718409600,10437525,10447494,10394145,10405492
1718413200,10420521,10449168,10415684,10437525
1718416800,10438797,10445562,10413000,10420521
1718420400,10443970,10450000,10435832,10438797
1718424000,10441242,10466890,10435906,10443970
1718427600,10442930,10466508,10440000,10441242
1718431200,10432633,10468219,10421575,10442930
1718434800,10405712,10432633,10400000,10432633
1718438400,10432346,10432634,10401506,10405712
1718442000,10438665,10446375,10415097,10432346
1718445600,10448711,10450000,10431201,10438665
1718449200,10448601,10454974,10439489,10448711
1718452800,10451497,10454997,10432916,10448601
1718456400,10445995,10452973,10436600,10451497
1718460000,10436035,10445995,10425851,10445995
1718463600,10446837,10469114,10431112,10436035
1718467200,10427920,10453606,10427826,10446837
1718470800,10445420,10448011,10420751,10427920
1718474400,10422562,10445420,10420051,10445420
1718478000,10425803,10432477,10418583,10422562
1718481600,10407641,10425803,10380000,10425803
1718485200,10416598,10421741,10406643,10407641
1718488800,10423916,10428578,10404929,10416598
1718492400,10429274,10441693,10423916,10423916
1718496000,10430858,10446086,10424096,10429274
1718499600,10428188,10433828,10418715,10430858
1718503200,10423373,10430000,10418902,10428188
1718506800,10419859,10425104,10411254,10423373
1718510400,10423612,10427161,10405965,10419859
1718514000,10433366,10433366,10423612,10423612
1718517600,10443342,10446999,10420050,10433366
1718521200,10431206,10446000,10426131,10443342
1718524800,10436395,10444957,10431192,10431206
1718528400,10456950,10458406,10425607,10436395
1718532000,10498304,10506709,10449548,10456950
1718535600,10465426,10505502,10460621,10498304
1718539200,10483959,10492044,10465426,10465426
1718542800,10503445,10507092,10480000,10483959
1718546400,10475487,10514999,10475312,10503445
1718550000,10508676,10510980,10475483,10475487
1718553600,10491669,10515000,10485594,10508676
1718557200,10485696,10499118,10480410,10491669
1718560800,10492900,10500083,10485696,10485696
1718564400,10487734,10500856,10483000,10492900
1718568000,10486754,10495270,10475000,10487734
1718571600,10478692,10487436,10473201,10486754
1718575200,10532170,10557023,10478692,10478692
1718578800,10519831,10537946,10516286,10532170
1718582400,10498665,10539998,10494070,10519831
1718586000,10488061,10502132,10452786,10498665
1718589600,10467790,10488061,10450000,10488061
1718593200,10447229,10481141,10436866,10467790
1718596800,10477931,10481229,10438855,10447229
1718600400,10475613,10505466,10468540,10477931
1718604000,10432616,10479879,10430000,10475613
1718607600,10451846,10484245,10406037,10432616
1718611200,10452551,10470004,10422576,10451846
1718614800,10381284,10467500,10367710,10452551
1718618400,10400845,10414100,10350754,10381284
1718622000,10411853,10427300,10398343,10400845
1718625600,10373047,10412564,10360385,10411853
1718629200,10309233,10398118,10304297,10373047
1718632800,10349523,10394110,10300000,10309233
1718636400,10326725,10390294,10315183,10349523
1718640000,10408411,10435677,10296561,10326725
1718643600,10515764,10516876,10408411,10408411
1718647200,10584998,10620000,10509571,10515764
1718650800,10524050,10584998,10508750,10584998
1718654400,10482479,10536479,10448299,10524050
1718658000,10503981,10530483,10468180,10482479
1718661600,10520792,10530000,10495245,10503981
1718665200,10499049,10532559,10482772,10520792
1718668800,10385898,10507641,10339000,10499049
1718672400,10290107,10428674,10200000,10385898
1718676000,10348667,10372365,10202857,10290107
1718679600,10365722,10375473,10322315,10348667
1718683200,10381271,10411582,10339634,10365722
1718686800,10391491,10420143,10377940,10381271
1718690400,10374996,10409158,10360000,10391491
1718694000,10405948,10429052,10374533,10374996
1718697600,10423340,10433063,10404813,10405948
1718701200,10382963,10426708,10382962,10423340
1718704800,10381256,10400000,10364123,10382963
1718708400,10363315,10384582,10324913,10381256
1718712000,10314823,10371683,10277709,10363315
1718715600,10252024,10322222,10225107,10314823
1718719200,10225934,10345303,10186000,10252024
1718722800,10233628,10264000,10161018,10225934
1718726400,10225247,10256572,10176531,10233628
1718730000,10217417,10255065,10180675,10225247
1718733600,10220937,10255000,10175000,10217417
1718737200,10193126,10226599,10136239,10220937
1718740800,10270075,10287015,10155000,10193126
1718744400,10310344,10324839,10251631,10270075
1718748000,10317286,10325522,10286581,10310344
1718751600,10292731,10321623,10282851,10317286
1718755200,10298399,10309000,10253774,10292731
1718758800,10280304,10350000,10250000,10298399
1718762400,10333333,10354793,10280304,10280304
1718766000,10350000,10374779,10327789,10333333
1718769600,10365096,10400000,10344932,10350000
1718773200,10359627,10376706,10341325,10365096
1718776800,10377979,10379384,10356870,10359627
1718780400,10334320,10387049,10305826,10377979
1718784000,10305291,10340862,10293242,10334320
1718787600,10328082,10328314,10295446,10305291
1718791200,10361088,10361453,10309000,10328082
1718794800,10316795,10367125,10285831,10361088
1718798400,10311738,10333423,10291690,10316795
1718802000,10302287,10319562,10295773,10311738
1718805600,10281491,10311613,10260962,10302287
1718809200,10276587,10308096,10251000,10281491
1718812800,10273191,10296820,10255205,10276587
1718816400,10296340,10328575,10267646,10273191
1718820000,10284416,10308679,10284416,10296340
1718823600,10272924,10284416,10252056,10284416
1718827200,10272758,10280048,10241946,10272924
1718830800,10293489,10306633,10262213,10272758
1718834400,10272000,10302872,10270010,10293489
1718838000,10284994,10293283,10263891,10272000
1718841600,10311698,10312902,10267277,10284994
1718845200,10310994,10350000,10302552,10311698
1718848800,10328029,10332611,10294540,10310994
1718852400,10332596,10343566,10315724,10328029
1718856000,10347942,10350000,10319000,10332596
1718859600,10386357,10395793,10340961,10347942
1718863200,10367990,10399780,10360893,10386357
1718866800,10433609,10447489,10367989,10367990
1718870400,10423563,10448098,10408332,10433609
1718874000,10429994,10431297,10404527,10423563
1718877600,10503577,10523952,10419044,10429994
1718881200,10484807,10538385,10484592,10503577
1718884800,10475284,10511950,10449523,10484807
1718888400,10358888,10480413,10350000,10475284
1718892000,10327887,10362191,10278242,10358888
1718895600,10315603,10362950,10302085,10327887
1718899200,10322446,10334676,10273741,10315603
1718902800,10337500,10346168,10297436,10322446
1718906400,10351196,10368448,10334186,10337500
1718910000,10350000,10355213,10313679,10351196
1718913600,10355998,10373905,10336700,10350000
1718917200,10352532,10372158,10347803,10355998
1718920800,10340077,10367750,10334997,10352532
1718924400,10328515,10355218,10325805,10340077
1718928000,10326863,10339510,10293029,10328515
1718931600,10341106,10355000,10302806,10326863
1718935200,10324774,10355956,10301277,10341106
1718938800,10273310,10331949,10256325,10324774
1718942400,10296841,10303567,10240000,10273310
1718946000,10298559,10308118,10271912,10296841
1718949600,10294348,10311810,10285463,10298559
1718953200,10215000,10307018,10214878,10294348
1718956800,10126564,10238990,10113001,10215000
1718960400,10200085,10231177,10117766,10126564
1718964000,10175001,10212995,10155573,10200085
1718967600,10149739,10199999,10135000,10175001
1718971200,10160041,10167578,10105140,10149739
1718974800,10138990,10169503,10100000,10160041
1718978400,10253243,10270750,10113639,10138990
1718982000,10169235,10272342,10130286,10253243
1718985600,10160482,10189000,10150220,10169235
1718989200,10171657,10200000,10139653,10160482
1718992800,10249914,10251988,10166657,10171657
1718996400,10263999,10264560,10215447,10249914
1719000000,10263416,10294878,10244516,10263999
1719003600,10242930,10265000,10207545,10263416
1719007200,10258109,10261805,10242930,10242930
1719010800,10254004,10267428,10242509,10258109
1719014400,10244000,10264130,10224704,10254004
